a,a,a,aa,,,,55,sad@de.wd,t,,,A
DJSKKSLADJKSL,javier,hernandez,hernandez,,,SDKLHASKLJDKJAKLDS,56-41561231,ejemplo.ejemplos@gmail,t,2,,P
DJKALDJKALJDK,Adolfo,Infante,Segundo,,,SDKLHASKLJDKJAKL56,55-25615315,tester.saf.normatividad@gmailcom,t,3,,P
MEGJ950216PV9,Jorge Julian,Medina,Galindo,,,MEGJ950216HMCDLR03,55-12345678,jorge.medgal@gmail.com,t,1234,,P
JKHG890612312,enrique,alfaro,prado,,,JKHG890612HMCDL455,55-89563233,tester.saf.normatividad@gmail.com,t,8,,P
SJKDAJSKDN561,laura,lahora,lahura,,,KDSLÑDA4564SADADSA,55-12315315,tester.saf.normatividad@gmail.com,t,8,,P
DKALñD456DADA,federico,rico,pordos,,,DKALÑD453DSADADADA,55-12315315,tester.saf.normatividad@gmail.com,t,9,,P
DJKALDJKSA897,ruben,valdez,castro,,,DJKALJDK5423123531,55-12315312,tester.saf.normatividad@gmail.com,t,10,,P
DJKAL1531DWAD,otro,registro,rechazar,,,DKA451231231231213,55-12315312,tester.saf.normatividad@gmail.com,t,12,,P
CURA871127IAA,JUAN,PEREZ,SOTO,,,MAHJ280603MSPRRV09,55-51322500,nayeli.cuevasr@gmail.com,t,fdsfsfsfsf,,P
SACN870414LQ6,Jose,Sagado,Casiano,,,SACN870414HMCDLR03,00-00000000,jnoesalgadomx@gmail.com,t,1234,,P
JIMY830105QD3,YURIDIA,JIMENEZ,MARTINEZ,,,JIMY830105MDFDRT09,78-45455659,nayeli.cuevasr@gmail.com,t,457812,,P
SACN870414LQ1,JOSE NOE,SALGADO,CASIANO,,,SACN870414HDFLSX01,55-55555555,pjimenez@finanzas.cdmx.gob.mx,t,1234,,P
